Daily Cheque Report,,,,,
Cheque No,Customer,Bank,Amount,Batch ID,Status
CHQ10001,Rahul Sharma,HDFC Bank,25000.00,BATCH001,APPROVED
CHQ10002,Priya Nair,ICICI Bank,175000.00,BATCH001,APPROVED
CHQ10003,Anil Kumar,SBI,45000.00,BATCH001,REJECTED
CHQ10004,Sneha Rao,Axis Bank,95000.00,BATCH002,MICR_REPAIR
CHQ10005,Thomas Mathew,Federal Bank,350000.00,BATCH002,APPROVED
CHQ10006,Meera Iyer,Canara Bank,18000.00,BATCH002,REJECTED
CHQ10007,Arjun Singh,Bank of Baroda,220000.00,BATCH003,APPROVED
CHQ10008,Neha Kapoor,Punjab National Bank,56000.00,BATCH003,MICR_REPAIR
CHQ10009,Vivek Menon,HDFC Bank,78000.00,BATCH003,APPROVED
CHQ10010,Sara Khan,ICICI Bank,425000.00,BATCH003,REJECTED
CHQ10011,Rohan Das,SBI,65000.00,BATCH004,APPROVED
CHQ10012,Lakshmi Pillai,Federal Bank,275000.00,BATCH004,APPROVED
CHQ10013,Sameer Khan,Axis Bank,32000.00,BATCH004,REJECTED
CHQ10014,Divya Nair,HDFC Bank,87000.00,BATCH005,MICR_REPAIR
CHQ10015,Joseph George,SBI,510000.00,BATCH005,APPROVED
